Actual,Predicted
0.7999999999999999,0.7887481
0.8999999999999999,0.9064245
0.02,0.019375173
0.03,0.031468034
0.39999999999999997,0.40122098
0.06999999999999999,0.070046075
0.7999999999999999,0.77614206
0.39999999999999997,0.4170685
0.049999999999999996,0.049411267
0.11,0.11069817
0.7000000000000001,0.67480373
0.13999999999999999,0.14342305
0.09999999999999999,0.10422852
0.02,0.020601604
0.19,0.19534294
0.13,0.13147105
0.18,0.18117845
0.049999999999999996,0.04844623
0.18,0.18295856
0.7999999999999999,0.7882369
0.06999999999999999,0.070135966
0.09999999999999999,0.10224428
0.39999999999999997,0.39177662
0.03,0.031359952
0.13,0.12812735
0.03,0.03101233
0.06,0.058294907
0.09,0.09026344
0.06,0.059590317
0.16,0.16502662
0.11,0.11154138
0.15,0.15161493
0.04,0.041156307
0.16999999999999998,0.16823532
0.7999999999999999,0.79216254
0.06,0.06161736
0.11,0.1106665
0.12,0.121684425
0.049999999999999996,0.05048728
0.01,0.009909781
0.7999999999999999,0.78857845
0.19999999999999998,0.20324989
0.16,0.16386233
0.19,0.19251306
0.049999999999999996,0.050849378
0.39999999999999997,0.39192003
0.08,0.08000795
0.06999999999999999,0.06818019
0.06999999999999999,0.06853537
0.19,0.18930714
0.3,0.29544848
0.13,0.12668884
0.06999999999999999,0.07037629
0.06,0.06270318
1.0,0.97871506
0.13,0.12951018
0.08,0.08159942
0.02,0.021109108
0.08,0.0828767
0.049999999999999996,0.052600265
0.02,0.020617325
0.06999999999999999,0.06917266
0.09,0.091506645
0.09999999999999999,0.09779714
0.06,0.056561753
0.6,0.627853
0.15,0.15761814
0.39999999999999997,0.41047436
0.02,0.020587359
0.09,0.0881477
0.16999999999999998,0.17071715
0.049999999999999996,0.049751267
0.03,0.032399528
0.06999999999999999,0.06919427
0.049999999999999996,0.046369836
0.06,0.06258969
0.08,0.07705007
0.16999999999999998,0.16954856
0.09,0.09049395
0.16999999999999998,0.17242356
